,property_id,property_name,category,city
0,16558,Atliq Grands,Luxury,Delhi
1,16559,Atliq Exotica,Luxury,Mumbai
2,16560,Atliq City,Business,Delhi
3,16561,Atliq Blu,Luxury,Delhi
4,16562,Atliq Bay,Luxury,Delhi
5,16563,Atliq Palace,Business,Delhi
6,17558,Atliq Grands,Luxury,Mumbai
7,17559,Atliq Exotica,Luxury,Mumbai
8,17560,Atliq City,Business,Mumbai
9,17561,Atliq Blu,Luxury,Mumbai
10,17562,Atliq Bay,Luxury,Mumbai
11,17563,Atliq Palace,Business,Mumbai
12,18558,Atliq Grands,Luxury,Hyderabad
13,18559,Atliq Exotica,Luxury,Hyderabad
14,18560,Atliq City,Business,Hyderabad
15,18561,Atliq Blu,Luxury,Hyderabad
16,18562,Atliq Bay,Luxury,Hyderabad
17,18563,Atliq Palace,Business,Hyderabad
18,19558,Atliq Grands,Luxury,Bangalore
19,19559,Atliq Exotica,Luxury,Bangalore
20,19560,Atliq City,Business,Bangalore
21,19561,Atliq Blu,Luxury,Bangalore
22,19562,Atliq Bay,Luxury,Bangalore
23,19563,Atliq Palace,Business,Bangalore
24,17564,Atliq Seasons,Business,Mumbai
